API,App Name,source,category,no: of reviews
com.innersloth.spacemafia,among us,sensor tower,game,"11,873,098"
com.dts.freefireth,gerena free fire,sensor tower,game,"85,691,138"
com.freeplay.runandfight,join clash 3d,sensor tower,game,"1,469,603"
com.kiloo.subwaysurf,subway surfers,sensor tower,game,"35,597,107"
com.outfit7.mytalkingtomfriends,my talking tom friends,sensor tower,game,"1,842,962"
com.amanotes.beathopper,tiles hop,sensor tower,game,"2,429,877"
com.Atinon.PassOver,cube surfer,sensor tower,game,"306,408"
com.isl.stairrun,stair run,sensor tower,game,"104,599"
com.ludo.king,ludo king,sensor tower,game,"7,408,325"
com.demin.emojipuzzle,emoji puzzle,sensor tower,game,"160,633"
com.ryzac.codecademygo,codecademy,IGN,education,"12,147"
com.yanka.mc,master class,IGN,education,"16,504"
com.duolingo,duolingo,IGN,education,"10,990,702"
com.brainscape.mobile.portal,brain scape,IGN,education,"4,425"
com.microblink.photomath,photo math,IGN,education,"2,190,542"
com.vitotechnology.StarWalk2Free,star walk 2,IGN,education,"352,436"
com.netflix.mediaclient,netflix,ceo world,entertainment,"11,584,975"
com.amazon.avod.thirdpartyclient,amazon prime videos,ceo world,entertainment,"2,694,140"
com.google.android.youtube,youtube,ceo world,entertainment,"103,257,111"
com.iqiyi.i18n,iqiyi videos,ceo world,entertainment,"393,157"
com.google.android.apps.adm,find my device by google,android authority,tools,"934,087"
com.glasswire.android,glasswire,android authority,tools,"19,225"
com.google.android.apps.googleassistant,google assistant,android authority,tools,"384,960"
com.ifttt.ifttt,ifttt,android authority,tools,"178,046"
com.lastpass.lpandroid,lastpass,android authority,tools,"203,209"
com.mixplorer.silver,mixplorer silver,android authority,tools,"1,802"
pl.solidexplorer2,solidexplorer,android authority,tools,"118,448"
com.farproc.wifi.analyzer,wifi analyzer,android authority,tools,"350,814"
com.spotify.music,spotify,metallio,music and audio,"22,505,004"
com.google.android.apps.youtube.music,youtube music,metallio,music and audio,"2,537,580"
com.amazon.ziggy.android,amazon music,metallio,music and audio,801
com.soundcloud.android,soundcloud,metallio,music and audio,"4,787,220"
com.thisisglobal.player.heart,heart radio,metallio,music and audio,"10,155"
deezer.android.app,deezer,metallio,music and audio,"2,517,673"
com.shazam.android,shazam,metallio,music and audio,"4,045,276"
com.audiomack,audiomack,metallio,music and audio,"1,422,097"
com.healthtap.userhtexpress,healthtap,healthline,lifestyle,"17,573"
com.androidapps.healthmanager,health pal,healthline,lifestyle,"21,414"
com.remente.app,remente,healthline,lifestyle,"10,912"
knocklock.health.nutrition.foodguide.nutritionsforall.healthyfood,Health and Nutrition Guide & Fitness Calculators,healthline,lifestyle,"2,278"
de.moodpath.android,moodpath,healthline,lifestyle,"36,252"
com.oceanwing.smarthome,oceanwing,healthline,lifestyle,"2,838"
com.fullreader,fullreader,hello tech,books and refrences,"41,770"
com.ubercab.eats,uber eats,android headlines,food and drink,"3,799,979"
com.glovo,glovo,android headlines,food and drink,"556,344"
com.main.gopuff,gopuff,android headlines,food and drink,"31,054"
com.ebay.mobile,ebay,android headlines,shopping,"3,831,633"
com.amazon.mShop.android.shopping,amazon,android headlines,shopping,"2,224,290"
com.alibaba.aliexpresshd,ali express,android headlines,shopping,"11,670,563"
com.contextlogic.wish,wish,android headlines,shopping,"12,743,343"
com.app.offerit,let go,android headlines,shopping,"3,531"
com.shpock.android,shpock,android headlines,shopping,"411,362"
com.alibaba.intl.android.apps.poseidon,alibaba,android headlines,shopping,"1,198,488"
com.globalegrow.app.gearbest,gearbest,android headlines,shopping,"441,067"
com.etsy.android,etsy,android headlines,shopping,"246,558"
,,,,"355,687,535"
